Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Test samples,Test gain,Test AUC,AUC Standard Deviation,#Background points,annual_mean_temperature contribution,annual_precipitation contribution,elevation contribution,mean_diurnal_range contribution,mean_temp_wettest_quarter contribution,precipitation_coldest_quarter contribution,precipitation_driest_quarter contribution,precipitation_seasonality contribution,precipitation_warmest_quarter contribution,temperature_seasonality contribution,annual_mean_temperature permutation importance,annual_precipitation permutation importance,elevation permutation importance,mean_diurnal_range permutation importance,mean_temp_wettest_quarter permutation importance,precipitation_coldest_quarter permutation importance,precipitation_driest_quarter permutation importance,precipitation_seasonality permutation importance,precipitation_warmest_quarter permutation importance,temperature_seasonality permutation importance,Entropy,Prevalence (average probability of presence over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 Cloglog threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 1 test omission,Fixed cumulative value 1 binomial probability,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 Cloglog threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 5 test omission,Fixed cumulative value 5 binomial probability,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 Cloglog threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Fixed cumulative value 10 test omission,Fixed cumulative value 10 binomial probability,Minimum training presence cumulative threshold,Minimum training presence Cloglog threshold,Minimum training presence area,Minimum training presence training omission,Minimum training presence test omission,Minimum training presence binomial probability,10 percentile training presence cumulative threshold,10 percentile training presence Cloglog threshold,10 percentile training presence area,10 percentile training presence training omission,10 percentile training presence test omission,10 percentile training presence binomial probability,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity Cloglog threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Equal training sensitivity and specificity test omission,Equal training sensitivity and specificity binomial probability,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity Cloglog threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,Maximum training sensitivity plus specificity test omission,Maximum training sensitivity plus specificity binomial probability,Equal test sensitivity and specificity cumulative threshold,Equal test sensitivity and specificity Cloglog threshold,Equal test sensitivity and specificity area,Equal test sensitivity and specificity training omission,Equal test sensitivity and specificity test omission,Equal test sensitivity and specificity binomial probability,Maximum test sensitivity plus specificity cumulative threshold,Maximum test sensitivity plus specificity Cloglog threshold,Maximum test sensitivity plus specificity area,Maximum test sensitivity plus specificity training omission,Maximum test sensitivity plus specificity test omission,Maximum test sensitivity plus specificity binomial probability,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value Cloglog threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission","Balance training omission, predicted area and threshold value test omission","Balance training omission, predicted area and threshold value binomial probability",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions Cloglog threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission,Equate entropy of thresholded and original distributions test omission,Equate entropy of thresholded and original distributions binomial probability
19998_1,279,1.8862,2.0678,500,0.9146,70,1.9896,0.9199,0.0171,10237,44.3028,5.1568,14.9618,7.2710,4.1761,0.7294,0.7891,2.7243,5.7033,14.1854,90.8197,0.9639,0.9675,2.7684,0.8068,0.0000,0.0000,0.0000,2.9283,0.7454,7.3508,0.0786,1.0000,0.0259,0.7916,0.0000,0.0000,8.84E-6,5.0000,0.0350,0.1294,0.0000,0.0000,0E0,10.0000,0.0350,0.1294,0.0000,0.0000,0E0,16.4340,0.0350,0.1294,0.0000,0.0000,0E0,16.4340,0.0350,0.1294,0.0000,0.0000,0E0,16.4363,0.0351,0.1294,0.1505,0.1286,0E0,16.4340,0.0350,0.1294,0.0000,0.0000,0E0,16.4572,0.0361,0.1286,0.1505,0.1286,0E0,16.4340,0.0350,0.1294,0.0000,0.0000,0E0,16.4340,0.0350,0.1294,0.0000,0.0000,0E0,16.4340,0.0350,0.1294,0.0000,0.0000,0E0
19998_2,279,1.8170,1.9938,500,0.9101,70,2.3675,0.9387,0.0158,10235,44.0151,5.0891,12.5847,7.5882,5.6473,0.8458,0.6957,4.3583,5.9271,13.2487,92.6953,1.1936,0.0000,2.3837,1.1746,0.0000,0.6240,0.0855,1.2820,0.5613,7.4183,0.0842,1.0000,0.0249,0.8064,0.0000,0.0000,2.065E-5,5.0000,0.0393,0.1330,0.1577,0.1000,0E0,10.0000,0.0393,0.1330,0.1577,0.1000,0E0,1.6300,0.0391,0.7730,0.0000,0.0000,2.901E-6,1.6300,0.0391,0.7730,0.0000,0.0000,2.901E-6,17.3024,0.0393,0.1330,0.1577,0.1000,0E0,21.8251,0.2521,0.0711,0.1720,0.1286,0E0,18.6796,0.0996,0.1000,0.1649,0.1000,0E0,29.6773,0.5939,0.0466,0.2258,0.1286,0E0,1.6300,0.0391,0.7730,0.0000,0.0000,2.901E-6,17.3024,0.0393,0.1330,0.1577,0.1000,0E0
19998_3,279,1.8932,2.0695,500,0.9168,70,2.0182,0.9111,0.0189,10239,43.9503,5.3276,14.9993,8.7151,3.4065,0.8102,0.8615,2.5141,4.8866,14.5288,88.5036,0.8944,0.0000,3.4207,2.0470,0.4749,0.0000,0.9993,1.7910,1.8691,7.3435,0.0782,1.0000,0.0237,0.7959,0.0000,0.0000,1.132E-5,5.0000,0.0330,0.1317,0.0000,0.0000,0E0,10.0000,0.0330,0.1317,0.0000,0.0000,0E0,15.6941,0.0330,0.1317,0.0000,0.0000,0E0,15.6941,0.0330,0.1317,0.0000,0.0000,0E0,15.6962,0.0331,0.1317,0.1434,0.1571,0E0,15.6941,0.0330,0.1317,0.0000,0.0000,0E0,15.6962,0.0331,0.1317,0.1434,0.1571,0E0,15.6941,0.0330,0.1317,0.0000,0.0000,0E0,15.6941,0.0330,0.1317,0.0000,0.0000,0E0,15.6941,0.0330,0.1317,0.0000,0.0000,0E0
19998_4,280,1.9026,2.0798,500,0.9161,69,1.8810,0.9116,0.0181,10239,44.0972,6.2068,16.6116,8.9568,5.2192,0.0251,0.5094,1.4604,4.8980,12.0155,90.3746,0.6489,1.1933,2.7947,1.4822,0.0000,0.5526,1.1110,1.0353,0.8075,7.3353,0.0772,1.0000,0.0227,0.7990,0.0000,0.0000,1.548E-5,5.0000,0.0335,0.1311,0.1464,0.1449,0E0,10.0000,0.0335,0.1311,0.1464,0.1449,0E0,1.5260,0.0335,0.7709,0.0000,0.0000,2.968E-6,1.5260,0.0335,0.7709,0.0000,0.0000,2.968E-6,16.0679,0.0335,0.1311,0.1464,0.1449,0E0,20.4102,0.2228,0.0704,0.1643,0.1594,0E0,16.0679,0.0335,0.1311,0.1464,0.1449,0E0,20.4596,0.2256,0.0702,0.1679,0.1594,0E0,1.5260,0.0335,0.7709,0.0000,0.0000,2.968E-6,16.0679,0.0335,0.1311,0.1464,0.1449,0E0
19998 (average),279.2000,1.8861,2.0642,500.0000,0.9157,69.8000,2.0175,0.9127,0.0186,10238.4000,43.2690,5.3657,15.1809,7.9014,5.2863,0.6191,0.7268,2.7326,5.3132,13.6049,91.1720,1.3038,0.4322,2.3561,1.1647,0.1925,0.2353,0.4392,1.7485,0.9558,7.3499,0.0787,1.0000,0.0237,0.7972,0.0000,0.0000,0.0000,5.0000,0.0340,0.1323,0.0873,0.0918,0.0000,10.0000,0.0340,0.1323,0.0873,0.0918,0.0000,7.3164,0.0340,0.5162,0.0000,0.0029,0.0000,7.3164,0.0340,0.5162,0.0000,0.0029,0.0000,15.9973,0.0346,0.1316,0.1461,0.1490,0.0000,18.7003,0.1558,0.0947,0.0959,0.1062,0.0000,16.2611,0.0463,0.1255,0.1476,0.1490,0.0000,20.0432,0.2154,0.0911,0.1074,0.1005,0.0000,7.3164,0.0340,0.5162,0.0000,0.0029,0.0000,15.9806,0.0340,0.1323,0.0873,0.0918,0.0000
201031_0,100,3.0719,3.4016,500,0.9886,25,3.5643,0.9911,0.0014,10100,35.8744,14.7841,3.7381,6.4159,4.0936,0.0000,0.6314,0.5058,0.7246,33.2321,0.7146,1.4017,71.3666,0.0290,1.4421,0.0000,0.1852,0.0228,0.0772,24.7607,6.1474,0.0266,1.0000,0.0189,0.0954,0.0000,0.0000,3.118E-26,5.0000,0.0986,0.0572,0.0000,0.0000,8.713E-32,10.0000,0.1851,0.0417,0.0000,0.0000,3.155E-35,10.1931,0.1863,0.0413,0.0000,0.0000,2.485E-35,25.1285,0.4593,0.0222,0.1000,0.0400,4.907E-39,16.5363,0.3093,0.0304,0.0300,0.0000,1.176E-38,10.1931,0.1863,0.0413,0.0000,0.0000,2.485E-35,24.8667,0.4546,0.0225,0.1000,0.0400,6.751E-39,24.8463,0.4541,0.0225,0.1000,0.0000,6.203E-42,0.9865,0.0182,0.0958,0.0000,0.0000,3.458E-26,8.1664,0.1556,0.0462,0.0000,0.0000,4.216E-34
201031_1,100,3.1235,3.4348,500,0.9889,25,3.2603,0.9864,0.0024,10100,36.8949,14.2873,4.5220,5.6478,3.0291,0.1414,0.6538,0.3542,0.2913,34.1784,0.8016,1.6211,68.7123,0.0464,1.0981,0.0000,0.1711,0.0000,0.0056,27.5438,6.0952,0.0251,1.0000,0.0176,0.0966,0.0000,0.0000,4.248E-26,5.0000,0.0852,0.0570,0.0000,0.0000,7.99E-32,10.0000,0.1701,0.0399,0.0200,0.0400,6.377E-33,8.4448,0.1442,0.0439,0.0000,0.0400,6.155E-32,22.3283,0.4004,0.0230,0.1000,0.1200,1.899E-33,11.4543,0.1944,0.0367,0.0400,0.0400,8.782E-34,8.4448,0.1442,0.0439,0.0000,0.0400,6.155E-32,9.9192,0.1679,0.0400,0.0100,0.0400,6.767E-33,5.1185,0.0869,0.0564,0.0000,0.0000,6.149E-32,0.9828,0.0174,0.0971,0.0000,0.0000,4.827E-26,8.4448,0.1442,0.0439,0.0000,0.0400,6.155E-32
201031_2,100,3.1683,3.4970,500,0.9894,25,3.0528,0.9833,0.0029,10100,35.4264,8.8231,3.3006,6.0365,2.3689,8.9386,1.1266,0.3018,0.6376,33.0398,0.8483,2.2038,71.5262,0.0149,0.6868,0.0675,0.2038,0.0000,0.0000,24.4486,6.0525,0.0241,1.0000,0.0144,0.0953,0.0000,0.0000,3.038E-26,5.0000,0.0803,0.0525,0.0100,0.0400,4.512E-30,10.0000,0.1776,0.0369,0.0200,0.1200,6.272E-29,4.7823,0.0772,0.0536,0.0000,0.0000,1.667E-32,23.5519,0.4555,0.0209,0.1000,0.2000,1.205E-29,14.0830,0.2701,0.0300,0.0300,0.1600,1.178E-28,14.0830,0.2701,0.0300,0.0200,0.1600,1.178E-28,6.1766,0.1040,0.0473,0.0200,0.0400,3.805E-31,4.8577,0.0787,0.0533,0.0100,0.0000,1.451E-32,1.1424,0.0166,0.0916,0.0000,0.0000,1.11E-26,7.8466,0.1405,0.0421,0.0200,0.1200,1.091E-27
201031_3,100,3.1269,3.4521,500,0.9889,25,3.3015,0.9868,0.0024,10100,36.5208,13.1590,4.1165,5.8794,3.2655,0.0000,1.7782,0.0211,0.9153,34.3443,1.2616,1.6507,70.3631,0.0105,0.7283,0.0000,0.4190,0.0000,0.0225,25.5442,6.0939,0.0252,1.0000,0.0190,0.0928,0.0000,0.0000,1.533E-26,5.0000,0.0887,0.0551,0.0100,0.0000,3.454E-32,10.0000,0.1721,0.0384,0.0300,0.0400,2.57E-33,4.8602,0.0867,0.0558,0.0000,0.0000,4.72E-32,24.8969,0.4823,0.0211,0.1000,0.2400,2.252E-27,10.1191,0.1738,0.0382,0.0400,0.0400,2.27E-33,4.8602,0.0867,0.0558,0.0000,0.0000,4.72E-32,9.3792,0.1588,0.0400,0.0300,0.0400,6.767E-33,6.7903,0.1153,0.0477,0.0100,0.0000,9.293E-34,0.9276,0.0174,0.0946,0.0000,0.0000,2.466E-26,7.9798,0.1345,0.0439,0.0200,0.0400,6.155E-32
201031_4,100,3.0850,3.4223,500,0.9889,25,3.4944,0.9898,0.0015,10100,34.7640,15.1439,3.9445,5.4550,3.2390,1.7520,1.4871,0.9425,0.4949,32.7772,0.3973,2.5048,69.8553,0.0011,1.4565,0.0000,0.2972,0.0438,0.0150,25.4291,6.1345,0.0263,1.0000,0.0188,0.0944,0.0000,0.0000,2.34E-26,5.0000,0.0981,0.0562,0.0000,0.0000,5.632E-32,10.0000,0.1892,0.0410,0.0000,0.0000,2.075E-35,11.1129,0.2013,0.0387,0.0000,0.0000,4.97E-36,24.1706,0.4472,0.0229,0.1000,0.0400,1.026E-38,16.0507,0.3067,0.0307,0.0300,0.0000,1.5E-38,11.1129,0.2013,0.0387,0.0000,0.0000,4.97E-36,18.8045,0.3658,0.0276,0.0500,0.0400,9.485E-37,18.7505,0.3649,0.0276,0.0500,0.0000,1.077E-39,0.9510,0.0180,0.0956,0.0000,0.0000,3.284E-26,8.1018,0.1582,0.0456,0.0000,0.0000,3.051E-34
201031 (average),100.0000,3.1151,3.4416,500.0000,0.9889,25.0000,3.3347,0.9875,0.0021,10100.0000,35.8961,13.2395,3.9243,5.8869,3.1992,2.1664,1.1354,0.4251,0.6127,33.5144,0.8047,1.8764,70.3647,0.0204,1.0824,0.0135,0.2553,0.0133,0.0241,25.5453,6.1047,0.0255,1.0000,0.0177,0.0949,0.0000,0.0000,0.0000,5.0000,0.0902,0.0556,0.0040,0.0080,0.0000,10.0000,0.1788,0.0396,0.0140,0.0400,0.0000,7.8787,0.1391,0.0467,0.0000,0.0080,0.0000,24.0152,0.4489,0.0220,0.1000,0.1280,0.0000,13.6487,0.2509,0.0332,0.0340,0.0480,0.0000,9.7388,0.1777,0.0419,0.0040,0.0400,0.0000,13.8292,0.2502,0.0355,0.0420,0.0400,0.0000,12.0727,0.2200,0.0415,0.0340,0.0000,0.0000,0.9981,0.0175,0.0949,0.0000,0.0000,0.0000,8.1079,0.1466,0.0443,0.0080,0.0400,0.0000
201044_0,137,2.5486,2.7739,460,0.9559,35,2.2675,0.9370,0.0232,10128,29.0105,6.2030,0.3206,19.3135,3.3938,3.1600,1.6476,1.6830,0.3103,34.9577,11.3383,0.0000,0.0000,23.4795,0.0000,0.0000,0.0000,0.7170,0.8854,63.5799,6.6756,0.0410,1.0000,0.0072,0.1830,0.0584,0.0857,2.27E-29,5.0000,0.0072,0.1830,0.0584,0.0857,2.27E-29,10.0000,0.0707,0.0872,0.0657,0.1143,3.02E-63,0.2143,0.0071,0.8298,0.0000,0.0000,3.686E-3,15.6501,0.1983,0.0521,0.0949,0.1143,0E0,10.7036,0.0813,0.0803,0.0803,0.1143,0E0,15.6501,0.1983,0.0521,0.0949,0.1143,0E0,8.0658,0.0412,0.1142,0.0584,0.1143,5.478E-47,16.3634,0.2126,0.0498,0.1095,0.1143,0E0,7.4248,0.0308,0.1279,0.0584,0.0857,2.014E-44,10.9353,0.0862,0.0782,0.0876,0.1143,0E0
201044_1,137,2.5413,2.8030,500,0.9564,35,2.3441,0.9390,0.0230,10128,28.9897,6.1599,0.3149,20.0527,3.8579,3.0947,1.6250,1.2750,0.5071,34.1231,13.9475,1.3362,0.0000,20.4075,0.5672,0.0000,0.0000,1.5848,2.3877,59.7692,6.6826,0.0414,1.0000,0.0072,0.1792,0.0000,0.0000,4.851E-37,5.0000,0.0072,0.1792,0.0000,0.0000,4.851E-37,10.0000,0.0728,0.0840,0.0803,0.0857,0E0,6.1291,0.0072,0.1792,0.0000,0.0000,4.851E-37,12.2968,0.1213,0.0661,0.0949,0.0857,0E0,10.0383,0.0730,0.0836,0.0803,0.0857,0E0,9.6474,0.0668,0.0878,0.0657,0.0857,0E0,9.8427,0.0696,0.0857,0.0803,0.0857,0E0,13.3139,0.1509,0.0604,0.1022,0.0857,0E0,6.1291,0.0072,0.1792,0.0000,0.0000,4.851E-37,10.5422,0.0841,0.0788,0.0949,0.0857,0E0
201044_2,138,2.3518,2.6056,500,0.9454,34,3.3077,0.9890,0.0021,10126,28.9294,7.2176,0.2264,13.4557,3.4957,5.6954,0.6914,0.0830,1.6240,38.5815,13.5281,1.3691,0.0000,18.2367,1.6480,2.6427,0.0000,0.0000,0.7524,61.8231,6.8708,0.0497,1.0000,0.0119,0.1732,0.0797,0.0000,1.792E-37,5.0000,0.0119,0.1732,0.0797,0.0000,1.792E-37,10.0000,0.0485,0.1183,0.0797,0.0000,2.377E-57,0.2985,0.0118,0.8202,0.0000,0.0000,3.163E-3,12.1771,0.0883,0.0886,0.0942,0.0000,0E0,11.9338,0.0839,0.0912,0.0942,0.0000,0E0,24.9326,0.4331,0.0371,0.1377,0.0588,0E0,23.0922,0.3767,0.0404,0.1377,0.0294,0E0,18.0689,0.2407,0.0534,0.1377,0.0000,0E0,9.3558,0.0373,0.1323,0.0797,0.0000,1.039E-50,11.5832,0.0773,0.0951,0.0870,0.0000,0E0
201044_3,138,2.5258,2.7711,500,0.9564,34,2.5451,0.9390,0.0240,10129,30.7003,6.7006,0.4436,13.7066,3.8708,3.2806,1.6451,1.9832,0.4652,37.2042,17.8190,1.8286,0.0000,12.3639,1.0606,0.0000,0.6008,0.3699,0.2341,65.7231,6.6974,0.0422,1.0000,0.0073,0.1794,0.0000,0.0000,5.347E-36,5.0000,0.0073,0.1794,0.0000,0.0000,5.347E-36,10.0000,0.0795,0.0813,0.0797,0.1471,3.064E-61,6.1015,0.0073,0.1794,0.0000,0.0000,5.347E-36,14.6891,0.1885,0.0534,0.0942,0.1765,0E0,10.1696,0.0821,0.0797,0.0797,0.1471,1.483E-62,20.8146,0.3641,0.0377,0.1014,0.1765,0E0,8.1395,0.0457,0.1051,0.0652,0.1176,1.072E-49,6.1015,0.0073,0.1794,0.0000,0.0000,5.347E-36,6.1015,0.0073,0.1794,0.0000,0.0000,5.347E-36,10.1381,0.0816,0.0800,0.0797,0.1471,2.641E-62
201044_4,138,2.4916,2.7525,500,0.9534,34,2.5660,0.9514,0.0199,10129,31.3837,6.9212,0.4786,13.1791,3.0982,5.5589,0.2146,0.0870,1.0607,38.0178,16.9956,0.5255,0.0000,14.2929,1.3072,0.1391,1.6264,0.0796,1.6465,63.3872,6.7321,0.0434,1.0000,0.0084,0.1766,0.0652,0.0588,7.142E-32,5.0000,0.0084,0.1766,0.0652,0.0588,7.142E-32,10.0000,0.0664,0.0899,0.0797,0.1176,5.652E-59,0.2602,0.0084,0.8234,0.0000,0.0000,3.461E-3,13.6907,0.1494,0.0612,0.0942,0.1765,0E0,10.9763,0.0867,0.0797,0.0797,0.1471,1.483E-62,20.7935,0.3460,0.0390,0.1087,0.1765,0E0,9.6690,0.0603,0.0941,0.0797,0.0882,2.965E-60,8.8900,0.0450,0.1060,0.0725,0.0588,1.19E-56,8.1213,0.0326,0.1223,0.0652,0.0588,2.109E-48,10.6567,0.0797,0.0827,0.0797,0.1471,4.717E-60
201044 (average),137.6000,2.4918,2.7412,492.0000,0.9535,34.4000,2.6061,0.9511,0.0184,10128.0000,29.8027,6.6405,0.3568,15.9415,3.5433,4.1579,1.1647,1.0222,0.7935,36.5769,14.7257,1.0119,0.0000,17.7561,0.9166,0.5564,0.4454,0.5503,1.1812,62.8565,6.7317,0.0435,1.0000,0.0084,0.1783,0.0407,0.0289,0.0000,5.0000,0.0084,0.1783,0.0407,0.0289,0.0000,10.0000,0.0676,0.0921,0.0770,0.0929,0.0000,2.6007,0.0084,0.5664,0.0000,0.0000,0.0021,13.7008,0.1492,0.0643,0.0945,0.1106,0.0000,10.7643,0.0814,0.0829,0.0828,0.0988,0.0000,18.3676,0.2817,0.0507,0.1017,0.1224,0.0000,11.7618,0.1187,0.0879,0.0843,0.0870,0.0000,12.5475,0.1313,0.0898,0.0844,0.0518,0.0000,7.4265,0.0230,0.1482,0.0407,0.0289,0.0000,10.7711,0.0818,0.0830,0.0858,0.0988,0.0000
2988_0,139,2.5300,2.7655,500,0.9634,35,2.1404,0.9358,0.0218,10133,32.2385,12.0914,1.0858,3.6859,7.0181,4.3342,0.8176,2.2912,0.3133,36.1241,0.0000,0.0000,0.0000,0.0000,6.9573,2.8604,0.3086,2.1491,1.5849,86.1397,6.6949,0.0437,1.0000,0.0054,0.1559,0.0432,0.0857,1.975E-35,5.0000,0.0196,0.1212,0.0432,0.0857,3.583E-47,10.0000,0.1710,0.0664,0.0504,0.1429,0E0,0.1607,0.0054,0.8024,0.0000,0.0000,1.665E-3,16.1528,0.3292,0.0489,0.0935,0.2286,0E0,12.5731,0.2458,0.0575,0.0576,0.1714,0E0,11.5426,0.2116,0.0606,0.0504,0.1714,0E0,6.8744,0.0795,0.0858,0.0432,0.0857,0E0,7.2349,0.0926,0.0825,0.0504,0.0857,0E0,5.4372,0.0314,0.1076,0.0432,0.0857,7.735E-54,7.6062,0.1020,0.0797,0.0504,0.1143,0E0
2988_1,139,2.3500,2.5889,500,0.9527,35,2.9953,0.9835,0.0031,10130,41.2049,7.0934,1.4877,4.7867,5.2873,2.0687,0.5616,1.1018,0.8466,35.5613,2.2066,0.0000,0.0000,2.6073,1.9940,0.0000,0.0000,3.2353,0.0000,89.9567,6.8703,0.0511,1.0000,0.0096,0.1533,0.0000,0.0000,3.027E-44,5.0000,0.0096,0.1533,0.0000,0.0000,3.027E-44,10.0000,0.1153,0.0826,0.0647,0.0000,0E0,6.8463,0.0096,0.1533,0.0000,0.0000,3.027E-44,17.4842,0.3333,0.0525,0.0935,0.0571,0E0,11.7125,0.1692,0.0720,0.0719,0.0000,0E0,10.8138,0.1421,0.0770,0.0647,0.0000,0E0,15.6920,0.2930,0.0572,0.0935,0.0571,0E0,14.3404,0.2498,0.0611,0.0863,0.0000,0E0,6.8463,0.0096,0.1533,0.0000,0.0000,3.027E-44,8.7535,0.0709,0.0951,0.0647,0.0000,0E0
2988_2,139,2.5472,2.7860,500,0.9686,35,2.1548,0.9154,0.0282,10135,33.2719,8.0345,1.6195,6.6948,7.6160,2.4838,2.4695,1.3515,1.6886,34.7700,1.3304,1.3209,2.5623,1.4717,4.7679,1.7900,0.0000,3.6479,1.9124,81.1965,6.6759,0.0436,1.0000,0.0036,0.1691,0.0288,0.1429,9.072E-28,5.0000,0.0616,0.0953,0.0288,0.1429,1.812E-53,10.0000,0.2031,0.0646,0.0504,0.1429,0E0,0.1002,0.0036,0.8155,0.0000,0.0000,2.446E-3,16.9568,0.3595,0.0477,0.0935,0.1714,0E0,13.5988,0.2783,0.0545,0.0576,0.1429,0E0,7.5708,0.1383,0.0749,0.0288,0.1429,0E0,3.2772,0.0092,0.1429,0.0288,0.1429,7.122E-34,16.7878,0.3574,0.0480,0.0863,0.1429,0E0,3.9611,0.0305,0.1129,0.0288,0.1429,2.584E-44,6.9847,0.1198,0.0782,0.0288,0.1429,0E0
2988_3,139,2.3563,2.6025,500,0.9528,35,2.9073,0.9830,0.0024,10130,40.0850,2.4508,0.8202,5.4355,5.1440,6.1948,1.8173,2.3981,1.2131,34.4412,1.5263,2.5163,1.9185,0.0000,15.1681,0.0000,0.0000,0.2835,0.3950,78.1923,6.8653,0.0509,1.0000,0.0095,0.1541,0.0000,0.0000,5.45E-44,5.0000,0.0095,0.1541,0.0000,0.0000,5.45E-44,10.0000,0.1104,0.0834,0.0647,0.0000,0E0,6.7836,0.0095,0.1541,0.0000,0.0000,5.45E-44,16.9276,0.3158,0.0542,0.0935,0.0000,0E0,11.8832,0.1746,0.0716,0.0719,0.0000,0E0,11.8632,0.1745,0.0717,0.0647,0.0000,0E0,19.0866,0.3754,0.0496,0.1079,0.0571,0E0,18.5843,0.3663,0.0505,0.1079,0.0000,0E0,6.7836,0.0095,0.1541,0.0000,0.0000,5.45E-44,8.8342,0.0774,0.0946,0.0647,0.0000,0E0
2988_4,140,2.4196,2.6713,500,0.9568,34,2.6328,0.9657,0.0136,10132,32.6469,7.9108,3.7037,7.2642,8.1596,0.9186,1.1898,2.6253,2.0357,33.5455,2.0494,3.5174,3.0530,0.3427,17.8386,3.0199,0.0000,2.9023,0.0000,67.2768,6.8033,0.0481,1.0000,0.0079,0.1552,0.0571,0.0294,1.066E-39,5.0000,0.0079,0.1552,0.0571,0.0294,1.066E-39,10.0000,0.1355,0.0761,0.0571,0.0588,0E0,0.2375,0.0079,0.8017,0.0000,0.0000,1.867E-3,17.0949,0.3377,0.0514,0.1000,0.0882,0E0,11.5282,0.1833,0.0684,0.0714,0.0588,0E0,14.9184,0.2837,0.0568,0.0714,0.0588,0E0,14.1785,0.2609,0.0588,0.0714,0.0588,0E0,9.7245,0.1273,0.0778,0.0571,0.0294,0E0,6.8669,0.0349,0.1125,0.0571,0.0294,9.13E-57,8.3717,0.0852,0.0888,0.0571,0.0294,0E0
2988 (average),139.2000,2.4406,2.6828,500.0000,0.9589,34.8000,2.5661,0.9567,0.0138,10132.0000,35.8894,7.5162,1.7434,5.5734,6.6450,3.2000,1.3712,1.9536,1.2195,34.8884,1.4225,1.4709,1.5068,0.8843,9.3452,1.5341,0.0617,2.4436,0.7785,80.5524,6.7819,0.0475,1.0000,0.0072,0.1575,0.0258,0.0516,0.0000,5.0000,0.0216,0.1358,0.0258,0.0516,0.0000,10.0000,0.1471,0.0746,0.0575,0.0689,0.0000,2.8257,0.0072,0.5454,0.0000,0.0000,0.0012,16.9233,0.3351,0.0509,0.0948,0.1091,0.0000,12.2592,0.2102,0.0648,0.0661,0.0746,0.0000,11.3418,0.1900,0.0682,0.0560,0.0746,0.0000,11.8217,0.2036,0.0789,0.0690,0.0803,0.0000,13.3344,0.2387,0.0640,0.0776,0.0516,0.0000,5.9790,0.0232,0.1281,0.0258,0.0516,0.0000,8.1101,0.0911,0.0873,0.0531,0.0573,0.0000
357_0,58,2.7633,3.3206,500,0.9437,15,4.1090,0.9958,0.0008,10050,45.1513,8.1401,5.3188,2.3779,1.2029,0.0203,0.3468,15.1246,0.2701,22.0473,10.9836,0.3451,5.2170,0.0000,2.8779,0.0000,5.0893,39.9365,2.4860,33.0646,6.4524,0.0308,1.0000,0.0123,0.1043,0.1207,0.0000,1.875E-15,5.0000,0.0123,0.1043,0.1207,0.0000,1.875E-15,10.0000,0.0123,0.1043,0.1207,0.0000,1.875E-15,0.5858,0.0123,0.7561,0.0000,0.0000,1.51E-2,0.5858,0.0123,0.7561,0.0000,0.0000,1.51E-2,13.3821,0.0123,0.1043,0.1207,0.0000,1.875E-15,26.0425,0.4098,0.0190,0.1207,0.0000,1.524E-26,49.8409,0.9086,0.0073,0.3276,0.0000,8.267E-33,49.8409,0.9086,0.0073,0.3276,0.0000,8.267E-33,0.5858,0.0123,0.7561,0.0000,0.0000,1.51E-2,15.1072,0.0487,0.0631,0.1207,0.0000,9.974E-19
357_1,58,3.0141,3.5496,500,0.9576,15,3.0580,0.9357,0.0378,10052,36.7204,4.9382,9.9481,6.5116,0.5546,0.8410,0.6146,13.6115,4.1057,22.1544,10.9877,0.0000,1.3556,0.0000,2.7510,0.0000,0.0000,46.4346,0.0000,38.4711,6.2026,0.0243,1.0000,0.0070,0.1118,0.0862,0.1333,3.603E-11,5.0000,0.0070,0.1118,0.0862,0.1333,3.603E-11,10.0000,0.0126,0.0950,0.0862,0.1333,4.485E-12,0.4241,0.0070,0.7635,0.0000,0.0000,1.747E-2,18.4305,0.1964,0.0250,0.0862,0.1333,1.47E-19,10.2584,0.0164,0.0863,0.0862,0.1333,1.299E-12,18.4305,0.1964,0.0250,0.0862,0.1333,1.47E-19,9.6767,0.0070,0.1118,0.0862,0.1333,3.603E-11,25.6495,0.4699,0.0156,0.1034,0.1333,3.357E-22,10.4783,0.0194,0.0803,0.0862,0.1333,5.176E-13,12.8290,0.0596,0.0491,0.0862,0.1333,9.328E-16
