Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Test samples,Test gain,Test AUC,AUC Standard Deviation,#Background points,annual_mean_temperature contribution,annual_precipitation contribution,elevation contribution,isothermality contribution,max_temp_coldest_month contribution,max_temp_warmest_month contribution,mean_diurnal_range contribution,mean_temp_coldest_quarter contribution,mean_temp_driest_quarter contribution,mean_temp_warmest_quarter contribution,mean_temp_wettest_quarter contribution,precipitation_coldest_quarter contribution,precipitation_driest_month contribution,precipitation_driest_quarter contribution,precipitation_seasonality contribution,precipitation_warmest_quarter contribution,precipitation_wettest_month contribution,precipitation_wettest_quarter contribution,temp_annual_range contribution,temperature_seasonality contribution,annual_mean_temperature permutation importance,annual_precipitation permutation importance,elevation permutation importance,isothermality permutation importance,max_temp_coldest_month permutation importance,max_temp_warmest_month permutation importance,mean_diurnal_range permutation importance,mean_temp_coldest_quarter permutation importance,mean_temp_driest_quarter permutation importance,mean_temp_warmest_quarter permutation importance,mean_temp_wettest_quarter permutation importance,precipitation_coldest_quarter permutation importance,precipitation_driest_month permutation importance,precipitation_driest_quarter permutation importance,precipitation_seasonality permutation importance,precipitation_warmest_quarter permutation importance,precipitation_wettest_month permutation importance,precipitation_wettest_quarter permutation importance,temp_annual_range permutation importance,temperature_seasonality permutation importance,Entropy,Prevalence (average probability of presence over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 Cloglog threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 1 test omission,Fixed cumulative value 1 binomial probability,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 Cloglog threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 5 test omission,Fixed cumulative value 5 binomial probability,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 Cloglog threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Fixed cumulative value 10 test omission,Fixed cumulative value 10 binomial probability,Minimum training presence cumulative threshold,Minimum training presence Cloglog threshold,Minimum training presence area,Minimum training presence training omission,Minimum training presence test omission,Minimum training presence binomial probability,10 percentile training presence cumulative threshold,10 percentile training presence Cloglog threshold,10 percentile training presence area,10 percentile training presence training omission,10 percentile training presence test omission,10 percentile training presence binomial probability,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity Cloglog threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Equal training sensitivity and specificity test omission,Equal training sensitivity and specificity binomial probability,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity Cloglog threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,Maximum training sensitivity plus specificity test omission,Maximum training sensitivity plus specificity binomial probability,Equal test sensitivity and specificity cumulative threshold,Equal test sensitivity and specificity Cloglog threshold,Equal test sensitivity and specificity area,Equal test sensitivity and specificity training omission,Equal test sensitivity and specificity test omission,Equal test sensitivity and specificity binomial probability,Maximum test sensitivity plus specificity cumulative threshold,Maximum test sensitivity plus specificity Cloglog threshold,Maximum test sensitivity plus specificity area,Maximum test sensitivity plus specificity training omission,Maximum test sensitivity plus specificity test omission,Maximum test sensitivity plus specificity binomial probability,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value Cloglog threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission","Balance training omission, predicted area and threshold value test omission","Balance training omission, predicted area and threshold value binomial probability",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions Cloglog threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission,Equate entropy of thresholded and original distributions test omission,Equate entropy of thresholded and original distributions binomial probability
16028_2,262,2.1812,2.3854,500,0.9237,66,2.3593,0.9108,0.0210,10224,5.8236,3.6077,16.7177,5.4697,1.0025,3.7560,7.9144,5.4989,2.5526,13.7341,0.2121,0.0007,0.0000,7.1321,17.6878,0.1343,0.0022,0.1793,0.4043,8.1700,0.9395,1.4810,8.3564,4.4051,0.0000,8.1757,0.0000,0.0558,1.0125,33.6051,0.7467,0.0000,0.0000,4.3784,17.3910,0.9184,0.0000,0.0000,0.9367,17.5979,7.0586,0.0572,1.0000,0.0233,0.1501,0.1336,0.1667,9.572E-55,5.0000,0.0233,0.1501,0.1336,0.1667,9.572E-55,10.0000,0.0233,0.1501,0.1336,0.1667,9.572E-55,0.8824,0.0232,0.7909,0.0000,0.0000,1.474E-5,0.8824,0.0232,0.7909,0.0000,0.0000,1.474E-5,14.5745,0.0359,0.1336,0.1336,0.1667,5.719E-63,23.4547,0.2736,0.0449,0.1489,0.1667,0E0,14.1359,0.0233,0.1501,0.1336,0.1667,9.572E-55,23.6889,0.2810,0.0441,0.1527,0.1667,0E0,0.8824,0.0232,0.7909,0.0000,0.0000,1.474E-5,15.3489,0.0518,0.1137,0.1336,0.1667,0E0
16028_3,263,2.1590,2.3634,500,0.9224,65,2.4033,0.9163,0.0204,10224,5.4249,3.0357,14.9920,4.0743,0.6229,3.8829,7.0134,7.1752,1.4686,14.6578,2.2061,0.6134,0.0027,7.1724,19.0658,0.6256,0.0006,0.0000,0.4755,7.4903,0.0000,1.4206,1.8073,4.8957,3.7000,2.9447,0.0000,6.5469,3.3169,41.5974,1.3610,0.0000,5.1576,0.0000,11.1402,0.0000,0.0000,0.0000,0.8900,15.2216,7.0602,0.0573,1.0000,0.0237,0.1484,0.1369,0.1538,1.032E-56,5.0000,0.0237,0.1484,0.1369,0.1538,1.032E-56,10.0000,0.0237,0.1484,0.1369,0.1538,1.032E-56,0.8444,0.0235,0.7891,0.0000,0.0000,1.538E-5,0.8444,0.0235,0.7891,0.0000,0.0000,1.538E-5,14.5262,0.0313,0.1368,0.1369,0.1538,1.789E-62,23.6850,0.2787,0.0444,0.1521,0.1538,0E0,14.2457,0.0237,0.1484,0.1369,0.1538,1.032E-56,23.9291,0.2880,0.0436,0.1559,0.1538,0E0,0.8444,0.0235,0.7891,0.0000,0.0000,1.538E-5,15.3704,0.0512,0.1138,0.1369,0.1538,0E0
16028_4,263,2.1629,2.3719,500,0.9212,65,2.3341,0.9216,0.0193,10225,3.9944,7.2402,13.8862,6.3300,1.8357,4.6010,2.7557,3.7384,3.1522,15.3061,0.4391,0.0258,0.0153,11.8467,15.3140,0.2081,0.0000,0.8215,1.2787,7.2107,1.8722,7.2690,1.7103,3.2648,2.2987,13.0478,0.0000,0.0135,0.1947,37.5866,0.0000,0.0000,0.0000,0.0000,16.2157,0.0000,0.0000,0.8861,0.0000,15.6407,7.0685,0.0576,1.0000,0.0247,0.1454,0.0000,0.0000,0E0,5.0000,0.0247,0.1454,0.0000,0.0000,0E0,10.0000,0.0247,0.1454,0.0000,0.0000,0E0,14.9359,0.0247,0.1454,0.0000,0.0000,0E0,14.9359,0.0247,0.1454,0.0000,0.0000,0E0,15.0514,0.0284,0.1406,0.1407,0.1385,4.807E-63,14.9359,0.0247,0.1454,0.0000,0.0000,0E0,15.1065,0.0296,0.1385,0.1407,0.1385,3.32E-64,14.9359,0.0247,0.1454,0.0000,0.0000,0E0,14.9359,0.0247,0.1454,0.0000,0.0000,0E0,15.8981,0.0470,0.1148,0.1407,0.1385,0E0
16028 (average),262.4000,2.1714,2.3729,500.0000,0.9216,65.6000,2.3321,0.9208,0.0192,10223.2000,4.8268,4.5271,14.4658,5.5365,1.3825,4.0505,5.9471,5.4608,2.2141,15.5422,0.6170,0.1320,0.0056,8.3309,18.4836,0.3036,0.0009,0.2664,0.5868,7.3198,0.7535,2.8465,4.1549,3.1876,2.7720,7.2446,0.0000,1.6783,1.0910,37.1574,1.0948,0.1792,1.4011,1.0301,16.4436,1.3071,0.5720,0.1772,0.5365,16.3725,7.0633,0.0574,1.0000,0.0244,0.2731,0.0816,0.0944,0.0000,5.0000,0.0246,0.1446,0.1121,0.1126,0.0000,10.0000,0.0246,0.1446,0.1121,0.1126,0.0000,3.7190,0.0245,0.6573,0.0000,0.0000,0.0000,3.7190,0.0245,0.6573,0.0000,0.0000,0.0000,14.9830,0.0294,0.1380,0.1403,0.1403,0.0000,22.1988,0.2340,0.0637,0.1243,0.1338,0.0000,15.2900,0.0352,0.1327,0.1410,0.1403,0.0000,21.2716,0.2039,0.0681,0.1258,0.1217,0.0000,3.7190,0.0245,0.6573,0.0000,0.0000,0.0000,15.7795,0.0475,0.1143,0.1403,0.1463,0.0000
19998_0,279,2.0215,2.1857,500,0.9239,70,1.9082,0.8955,0.0204,10242,6.7131,3.9255,13.0228,7.0026,9.4509,3.1348,5.2223,10.1991,25.2682,0.1187,3.2850,1.5042,0.0154,0.0002,1.6797,1.6143,0.0060,0.0003,0.6572,7.1797,7.2578,0.9259,1.1615,13.1550,39.1017,34.6631,0.0000,0.0000,0.2523,0.0951,0.6692,0.1336,0.0000,0.2724,0.0000,1.5362,0.0000,0.0000,0.7761,0.0000,7.2163,0.0686,1.0000,0.0160,0.7823,0.0000,0.0000,5.074E-6,5.0000,0.0273,0.1241,0.1326,0.2000,0E0,10.0000,0.0273,0.1241,0.1326,0.2000,0E0,1.2949,0.0270,0.7637,0.0000,0.0000,1.63E-6,1.2949,0.0270,0.7637,0.0000,0.0000,1.63E-6,14.4548,0.0273,0.1241,0.1326,0.2000,0E0,20.3129,0.2917,0.0599,0.1470,0.2143,0E0,14.4548,0.0273,0.1241,0.1326,0.2000,0E0,20.8444,0.3205,0.0580,0.1577,0.2143,0E0,1.2949,0.0270,0.7637,0.0000,0.0000,1.63E-6,14.4548,0.0273,0.1241,0.1326,0.2000,0E0
19998_1,279,1.9793,2.1495,500,0.9180,70,2.0493,0.9231,0.0168,10237,7.8556,1.6269,10.1943,6.4338,9.0199,2.0712,9.1220,12.5157,25.8800,0.0971,2.5780,1.5992,0.0012,0.0000,2.5997,1.5200,0.0550,0.0000,0.0088,6.8217,3.5968,0.0000,0.0000,13.2700,42.6102,23.1056,0.9702,0.0000,0.0000,0.0000,2.8769,1.5053,0.0000,0.0000,1.7194,2.7411,0.5539,0.3538,0.5568,6.1398,7.2555,0.0710,1.0000,0.0201,0.7773,0.0000,0.0000,3.757E-6,5.0000,0.0321,0.1175,0.1505,0.1286,0E0,10.0000,0.0321,0.1175,0.1505,0.1286,0E0,1.3607,0.0319,0.7574,0.0000,0.0000,1.098E-6,1.3607,0.0319,0.7574,0.0000,0.0000,1.098E-6,16.3409,0.0321,0.1175,0.1505,0.1286,0E0,21.4105,0.2650,0.0597,0.1613,0.1857,0E0,16.3409,0.0321,0.1175,0.1505,0.1286,0E0,19.5970,0.1884,0.0696,0.1613,0.1571,0E0,1.3607,0.0319,0.7574,0.0000,0.0000,1.098E-6,16.3409,0.0321,0.1175,0.1505,0.1286,0E0
19998_2,279,1.9067,2.0740,500,0.9134,70,2.4542,0.9412,0.0154,10235,6.6395,3.4395,10.9119,7.5395,15.1319,3.0034,5.6115,10.3212,20.5826,0.0885,3.2638,1.9399,0.0000,0.0002,2.6487,1.6304,0.0443,0.0000,0.5563,6.6469,7.5683,0.2599,0.0000,11.9030,38.0105,30.4065,2.5636,0.0000,0.0000,0.0000,1.7062,3.8471,0.3872,0.0000,1.1794,0.0000,0.0000,0.0000,0.0000,2.1683,7.3254,0.0762,1.0000,0.0198,0.7945,0.0000,0.0000,1.047E-5,5.0000,0.0359,0.1224,0.1577,0.1000,0E0,10.0000,0.0359,0.1224,0.1577,0.1000,0E0,1.5492,0.0358,0.7625,0.0000,0.0000,1.509E-6,1.5492,0.0358,0.7625,0.0000,0.0000,1.509E-6,17.2679,0.0359,0.1224,0.1577,0.1000,0E0,23.9533,0.3441,0.0562,0.1792,0.1286,0E0,18.1298,0.0790,0.1000,0.1613,0.1000,0E0,22.3362,0.2673,0.0626,0.1756,0.1000,0E0,1.5492,0.0358,0.7625,0.0000,0.0000,1.509E-6,17.2679,0.0359,0.1224,0.1577,0.1000,0E0
19998_3,279,1.9824,2.1443,500,0.9197,70,2.0648,0.9134,0.0185,10239,6.4740,4.7992,11.4696,7.4282,14.5814,2.6014,7.1853,10.2351,19.6664,0.0572,3.8732,0.0000,1.0062,0.0000,2.5262,0.4640,0.0006,0.0001,0.5574,7.0742,2.2708,0.0000,0.4240,14.2998,59.1266,15.5273,0.0196,0.0000,0.3324,0.0000,1.1771,0.0000,0.7220,0.0000,1.7248,0.9551,0.0000,0.0000,0.7107,2.7099,7.2575,0.0713,1.0000,0.0183,0.7877,0.0000,0.0000,7E-6,5.0000,0.0305,0.1222,0.1434,0.1571,0E0,10.0000,0.0305,0.1222,0.1434,0.1571,0E0,1.4193,0.0305,0.7620,0.0000,0.0000,1.463E-6,1.4193,0.0305,0.7620,0.0000,0.0000,1.463E-6,15.7058,0.0305,0.1222,0.1434,0.1571,0E0,21.8518,0.3102,0.0574,0.1613,0.2000,0E0,15.7058,0.0305,0.1222,0.1434,0.1571,0E0,19.9240,0.2257,0.0662,0.1613,0.1714,0E0,1.4193,0.0305,0.7620,0.0000,0.0000,1.463E-6,15.7058,0.0305,0.1222,0.1434,0.1571,0E0
19998_4,280,1.9897,2.1559,500,0.9190,69,1.9920,0.9159,0.0179,10239,6.6135,1.4220,9.8201,6.2598,10.7198,2.6585,9.3672,12.4525,22.6933,1.4955,3.2684,0.0000,0.0070,0.9063,2.4831,1.6815,0.0556,0.0000,0.0312,8.0648,8.8478,0.3261,1.2429,12.9560,25.1418,43.9109,2.7295,0.4809,0.0000,0.5342,0.8763,0.0000,0.0000,0.0000,0.0000,1.0699,0.0000,0.0000,0.5840,1.2997,7.2451,0.0702,1.0000,0.0195,0.7852,0.0000,0.0000,6.989E-6,5.0000,0.0308,0.1215,0.1464,0.1449,0E0,10.0000,0.0308,0.1215,0.1464,0.1449,0E0,1.4197,0.0306,0.7613,0.0000,0.0000,1.65E-6,1.4197,0.0306,0.7613,0.0000,0.0000,1.65E-6,15.9602,0.0308,0.1215,0.1464,0.1449,0E0,21.1732,0.2678,0.0603,0.1607,0.1594,0E0,15.9602,0.0308,0.1215,0.1464,0.1449,0E0,25.1413,0.4308,0.0474,0.1964,0.1594,0E0,1.4197,0.0306,0.7613,0.0000,0.0000,1.65E-6,15.9602,0.0308,0.1215,0.1464,0.1449,0E0
19998 (average),279.2000,1.9759,2.1419,500.0000,0.9188,69.8000,2.0937,0.9178,0.0178,10238.4000,6.8591,3.0426,11.0837,6.9328,11.7808,2.6939,7.3017,11.1447,22.8181,0.3714,3.2537,1.0087,0.2060,0.1813,2.3875,1.3820,0.0323,0.0001,0.3622,7.1575,5.9083,0.3024,0.5657,13.1168,40.7982,29.5227,1.2566,0.0962,0.1169,0.1259,1.4611,1.0972,0.2218,0.0545,0.9247,1.2605,0.1108,0.0708,0.5255,2.4635,7.2600,0.0715,1.0000,0.0187,0.7854,0.0000,0.0000,0.0000,5.0000,0.0313,0.1215,0.1461,0.1461,0.0000,10.0000,0.0313,0.1215,0.1461,0.1461,0.0000,1.4088,0.0312,0.7614,0.0000,0.0000,0.0000,1.4088,0.0312,0.7614,0.0000,0.0000,0.0000,15.9459,0.0313,0.1215,0.1461,0.1461,0.0000,21.7403,0.2958,0.0587,0.1619,0.1776,0.0000,16.1183,0.0399,0.1171,0.1468,0.1461,0.0000,21.5686,0.2865,0.0608,0.1705,0.1604,0.0000,1.4088,0.0312,0.7614,0.0000,0.0000,0.0000,15.9459,0.0313,0.1215,0.1461,0.1461,0.0000
201031_0,100,3.1740,3.4887,500,0.9893,25,3.4245,0.9887,0.0016,10100,21.7770,8.1679,0.8168,2.7612,0.4655,7.1572,4.2451,33.8481,3.5582,0.6824,0.1174,0.0070,0.0000,0.0000,0.0116,0.4714,0.0000,0.0001,0.0000,15.9131,25.5271,5.9858,2.8535,5.0343,1.0345,5.7698,5.3930,24.9119,18.1342,0.7865,0.1703,0.0309,0.0000,0.0000,0.0724,0.5439,0.0000,0.0000,0.0000,3.7518,6.0289,0.0236,1.0000,0.0180,0.0867,0.0000,0.0000,2.848E-27,5.0000,0.0921,0.0507,0.0100,0.0000,4.205E-33,10.0000,0.1866,0.0366,0.0300,0.0000,1.25E-36,3.1061,0.0567,0.0612,0.0000,0.0000,4.642E-31,25.1409,0.4765,0.0197,0.1000,0.2400,6.239E-28,12.7614,0.2265,0.0317,0.0300,0.0000,3.317E-38,8.8603,0.1705,0.0389,0.0100,0.0000,5.647E-36,15.7106,0.3104,0.0277,0.0500,0.0400,1.033E-36,15.6728,0.3084,0.0277,0.0500,0.0000,1.177E-39,0.9288,0.0162,0.0884,0.0000,0.0000,4.605E-27,7.9490,0.1535,0.0411,0.0100,0.0000,2.204E-35
201031_1,100,3.2068,3.5423,500,0.9900,25,3.3190,0.9860,0.0036,10100,12.6651,16.8755,1.0758,8.6161,3.9526,3.1082,2.3989,33.1463,1.2583,1.1510,0.0598,0.0006,0.0003,0.0000,0.0000,0.1007,0.0000,0.2771,0.1803,15.1333,9.5977,15.2780,6.0186,11.1149,3.7714,2.5624,3.2319,21.9484,15.8479,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1941,0.0000,1.0559,1.8804,7.4984,5.9969,0.0229,1.0000,0.0133,0.0889,0.0000,0.0400,1.362E-24,5.0000,0.0922,0.0478,0.0000,0.0400,4.881E-31,10.0000,0.1941,0.0346,0.0200,0.0800,6.815E-32,8.8571,0.1687,0.0369,0.0000,0.0400,9.99E-34,24.8441,0.4869,0.0192,0.1000,0.1600,1.054E-32,13.5236,0.2714,0.0292,0.0300,0.0800,1.442E-33,8.8571,0.1687,0.0369,0.0000,0.0400,9.99E-34,7.5253,0.1480,0.0400,0.0000,0.0400,6.767E-33,9.8554,0.1881,0.0349,0.0200,0.0400,2.492E-34,1.1926,0.0158,0.0837,0.0000,0.0400,3.18E-25,7.6058,0.1504,0.0398,0.0000,0.0400,6.008E-33
201031_2,100,3.2210,3.5697,500,0.9903,25,3.2457,0.9862,0.0023,10100,13.3339,17.2608,1.9553,9.8159,3.6075,2.0451,2.4341,29.6741,2.0127,0.0407,0.5546,0.0652,0.0001,0.0000,0.0000,0.3012,0.0000,0.2735,0.1780,16.4473,14.4534,17.0337,5.7317,12.4227,3.9787,3.3583,1.9638,10.5436,12.9959,0.0000,0.6697,0.9159,0.0000,0.0000,0.0000,0.2541,0.0000,0.3821,1.6604,13.6360,5.9857,0.0225,1.0000,0.0131,0.0909,0.0000,0.0000,9.184E-27,5.0000,0.0839,0.0488,0.0100,0.0000,1.634E-33,10.0000,0.1892,0.0344,0.0100,0.0800,5.973E-32,4.0955,0.0670,0.0534,0.0000,0.0000,1.519E-32,24.3510,0.4581,0.0192,0.1000,0.1600,1.054E-32,12.8413,0.2463,0.0298,0.0300,0.0800,2.289E-33,11.8901,0.2269,0.0311,0.0100,0.0800,6.037E-33,6.9813,0.1227,0.0416,0.0100,0.0400,1.716E-32,6.1266,0.1059,0.0444,0.0100,0.0000,1.493E-34,1.1488,0.0156,0.0868,0.0000,0.0000,2.931E-27,7.8107,0.1401,0.0393,0.0100,0.0800,1.308E-30
201031_3,100,3.1988,3.5314,500,0.9897,25,3.3656,0.9879,0.0022,10100,22.3872,12.7775,0.5885,5.9430,2.2139,1.2640,1.6488,33.4700,1.4721,0.0654,0.1213,0.0000,0.0001,0.0176,0.0006,0.3106,0.0000,0.0000,0.1875,17.5319,13.7868,10.1563,2.4583,7.2534,2.4798,2.2214,1.8676,30.4597,16.3805,0.2708,0.6277,0.0000,0.0000,0.2354,0.0277,0.7969,0.0000,0.0000,1.5799,9.3979,6.0044,0.0231,1.0000,0.0155,0.0870,0.0000,0.0000,3.102E-27,5.0000,0.0871,0.0491,0.0100,0.0000,1.901E-33,10.0000,0.1874,0.0350,0.0300,0.0000,3.858E-37,1.9436,0.0325,0.0710,0.0000,0.0000,1.905E-29,22.8718,0.4327,0.0204,0.1000,0.2800,1.565E-25,11.7299,0.2191,0.0319,0.0300,0.0000,3.876E-38,9.3959,0.1752,0.0361,0.0100,0.0000,8.898E-37,13.1114,0.2499,0.0299,0.0400,0.0400,6.335E-36,13.0982,0.2496,0.0299,0.0400,0.0000,7.801E-39,1.0246,0.0158,0.0864,0.0000,0.0000,2.614E-27,7.7506,0.1414,0.0401,0.0100,0.0000,1.198E-35
201031_4,100,3.1480,3.4833,500,0.9895,25,3.6066,0.9912,0.0014,10100,19.9218,15.0417,0.8720,6.3447,2.2206,1.2923,0.7870,34.5297,2.0814,1.4504,0.1015,0.0149,0.0001,0.0000,0.1029,0.1143,0.0003,0.0356,0.1900,14.8989,19.3997,16.2779,4.6445,11.0664,2.5803,3.0964,2.0014,12.8404,11.6419,0.0000,0.1681,0.4787,0.0000,0.0000,0.3616,0.1918,0.0000,0.0662,2.1423,13.0424,6.0599,0.0244,1.0000,0.0171,0.0889,0.0000,0.0000,5.295E-27,5.0000,0.0936,0.0512,0.0100,0.0000,5.361E-33,10.0000,0.1954,0.0373,0.0100,0.0000,1.998E-36,4.2853,0.0754,0.0546,0.0000,0.0000,2.635E-32,25.7158,0.4819,0.0203,0.1000,0.0400,5.858E-40,12.8892,0.2429,0.0325,0.0300,0.0000,6.149E-38,11.8116,0.2307,0.0342,0.0100,0.0000,2.175E-37,19.0877,0.3764,0.0254,0.0500,0.0400,1.324E-37,18.9868,0.3755,0.0254,0.0500,0.0000,1.381E-40,0.9989,0.0168,0.0890,0.0000,0.0000,5.444E-27,7.7318,0.1510,0.0424,0.0100,0.0000,4.765E-35
201031 (average),100.0000,3.1897,3.5231,500.0000,0.9898,25.0000,3.3923,0.9880,0.0022,10100.0000,18.0170,14.0247,1.0617,6.6962,2.4920,2.9734,2.3028,32.9336,2.0765,0.6780,0.1909,0.0175,0.0001,0.0035,0.0230,0.2596,0.0001,0.1173,0.1472,15.9849,16.5529,12.9463,4.3413,9.3783,2.7689,3.4017,2.8915,20.1408,15.0001,0.2115,0.3272,0.2851,0.0000,0.0471,0.0923,0.3962,0.0000,0.3008,1.4526,9.4653,6.0152,0.0233,1.0000,0.0154,0.0885,0.0000,0.0080,0.0000,5.0000,0.0898,0.0495,0.0080,0.0080,0.0000,10.0000,0.1905,0.0356,0.0200,0.0320,0.0000,4.4575,0.0801,0.0554,0.0000,0.0080,0.0000,24.5847,0.4672,0.0198,0.1000,0.1760,0.0000,12.7491,0.2412,0.0310,0.0300,0.0320,0.0000,10.1630,0.1944,0.0354,0.0080,0.0240,0.0000,12.4833,0.2415,0.0329,0.0300,0.0400,0.0000,12.7480,0.2455,0.0325,0.0340,0.0080,0.0000,1.0587,0.0160,0.0869,0.0000,0.0080,0.0000,7.7696,0.1473,0.0405,0.0080,0.0240,0.0000
201044_0,137,2.6177,2.8971,500,0.9588,35,2.3855,0.9405,0.0228,10128,28.3661,4.7491,0.2954,18.9600,3.4995,1.9270,9.8851,1.2955,2.2008,1.6625,0.0005,0.0000,0.0000,0.0000,0.4595,0.2171,0.0001,0.6154,0.4688,25.3978,0.0000,0.0000,0.0000,17.3834,0.0000,0.0000,1.6559,3.6331,0.9969,0.0000,1.1242,0.0000,1.0540,0.0000,2.5300,0.0000,0.0000,0.0000,0.0000,71.6225,6.6052,0.0380,1.0000,0.0067,0.1731,0.0000,0.0000,1.502E-38,5.0000,0.0067,0.1731,0.0000,0.0000,1.502E-38,10.0000,0.0741,0.0806,0.0584,0.0857,0E0,6.2228,0.0067,0.1731,0.0000,0.0000,1.502E-38,15.1505,0.1769,0.0494,0.0949,0.1143,0E0,12.0982,0.1085,0.0644,0.0657,0.1143,0E0,12.0827,0.1083,0.0644,0.0584,0.1143,0E0,9.5017,0.0659,0.0857,0.0584,0.0857,0E0,11.0032,0.0893,0.0720,0.0584,0.0857,0E0,6.2228,0.0067,0.1731,0.0000,0.0000,1.502E-38,10.8979,0.0875,0.0729,0.0584,0.0857,0E0
201044_1,137,2.6035,2.9018,500,0.9594,35,2.4651,0.9426,0.0225,10128,26.2399,4.8123,0.4187,12.1835,3.3767,2.9944,12.0407,1.7190,2.2261,0.1059,0.1582,0.0000,0.0000,0.0696,0.0597,0.6605,0.0000,0.6010,0.4707,31.8632,0.0000,2.3645,0.0000,12.6151,0.0000,0.0000,1.8791,6.7636,2.4813,0.2607,0.0000,2.4692,0.0000,0.0000,0.0000,0.3469,0.0000,0.0000,0.0000,70.8196,6.6221,0.0388,1.0000,0.0068,0.1674,0.0000,0.0000,4.63E-40,5.0000,0.0068,0.1674,0.0000,0.0000,4.63E-40,10.0000,0.0796,0.0803,0.0584,0.0857,0E0,6.1987,0.0068,0.1674,0.0000,0.0000,4.63E-40,16.8064,0.2072,0.0452,0.0949,0.0857,0E0,13.0794,0.1395,0.0600,0.0584,0.0857,0E0,13.0794,0.1395,0.0600,0.0584,0.0857,0E0,9.4320,0.0716,0.0857,0.0584,0.0857,0E0,17.7249,0.2278,0.0425,0.1022,0.0857,0E0,6.1987,0.0068,0.1674,0.0000,0.0000,4.63E-40,10.7633,0.0941,0.0742,0.0584,0.0857,0E0
201044_2,138,2.4232,2.7175,500,0.9489,34,3.4163,0.9908,0.0016,10126,26.6519,2.9156,0.4907,13.3905,2.3113,5.3723,12.2447,1.1796,2.3726,0.0889,0.0466,0.0173,0.3957,0.0173,0.0098,0.8472,0.0135,0.0000,0.0000,31.6345,0.0000,2.4316,1.6903,23.4384,0.0000,3.8919,0.0000,4.4372,1.3453,0.0000,0.7752,0.0780,0.0000,0.0000,1.6395,0.0000,0.0000,0.0000,0.0000,60.2728,6.8012,0.0461,1.0000,0.0111,0.1593,0.0797,0.0000,3.206E-41,5.0000,0.0111,0.1593,0.0797,0.0000,3.206E-41,10.0000,0.0467,0.1083,0.0797,0.0000,4.066E-63,0.4074,0.0110,0.8062,0.0000,0.0000,2.128E-3,15.7506,0.1774,0.0590,0.0942,0.0000,0E0,12.4165,0.0998,0.0797,0.0797,0.0000,0E0,14.8535,0.1583,0.0634,0.0797,0.0000,0E0,28.0351,0.5059,0.0294,0.1739,0.0294,0E0,23.0570,0.3725,0.0370,0.1304,0.0000,0E0,9.4536,0.0349,0.1201,0.0797,0.0000,2.011E-56,11.4580,0.0819,0.0887,0.0797,0.0000,0E0
201044_3,138,2.5980,2.8789,500,0.9589,34,2.5983,0.9416,0.0235,10129,28.6865,4.7914,0.8487,19.5177,3.5851,1.8995,8.7729,1.7966,2.0043,1.2166,0.0012,0.0105,0.0000,0.0010,0.0548,0.6826,0.0022,0.6167,0.4736,25.0383,0.0000,2.0342,0.0000,11.1104,6.5571,0.0000,2.8885,6.6233,2.2829,0.0000,0.0000,1.0930,0.0000,0.0000,0.0000,0.4394,0.0000,0.0000,0.0000,66.9714,6.6243,0.0390,1.0000,0.0067,0.1707,0.0580,0.0882,7.858E-31,5.0000,0.0067,0.1707,0.0580,0.0882,7.858E-31,10.0000,0.0767,0.0767,0.0652,0.1471,0E0,0.2826,0.0067,0.8175,0.0000,0.0000,2.931E-3,19.4399,0.3275,0.0365,0.0942,0.1765,0E0,10.7010,0.0916,0.0709,0.0725,0.1471,0E0,18.9257,0.3087,0.0375,0.0870,0.1765,0E0,8.9481,0.0547,0.0883,0.0580,0.0882,1.419E-64,9.7780,0.0721,0.0789,0.0652,0.0882,0E0,7.3080,0.0292,0.1172,0.0580,0.0882,2.423E-47,10.2757,0.0839,0.0743,0.0652,0.1471,0E0
